n, g(n), f(n)
10, 0.035, 10
100, 0.24, 100
1000, 16.971, 1000
10000, 1509.27, 10000
100000, 146889, 100000
200000, 593360, 200000
300000, 1.34058e+06, 300000
500000, 3.76859e+06, 500000
