n, g(n), f(n)
10, 0.002, 10
100, 0.014, 100
1000, 1.076, 1000
10000, 106.701, 10000
100000, 10723.5, 100000
200000, 42875.1, 200000
300000, 96565.6, 300000
500000, 267528, 500000
