n, g(n), f(n)
10, 0.034, 10
100, 0.215, 100
1000, 1.963, 1000
10000, 17.796, 10000
100000, 132.322, 100000
200000, 271.487, 200000
300000, 428.253, 300000
500000, 661.068, 500000
10, 0.019, 10
100, 0.26, 100
1000, 1.923, 1000
10000, 17.768, 10000
100000, 132.914, 100000
200000, 270.669, 200000
300000, 428.818, 300000
500000, 661.666, 500000
